invoice_id,branch,city,product_line,unit_price,quantity,total,payment,date
INV-5121,C,Vadodara,Home and lifestyle,20.07,10,210.74,Credit card,2026-01-21
INV-5381,C,Vadodara,Fashion accessories,13.23,8,111.13,Credit card,2026-01-21
INV-5410,A,Ahmedabad,Food and beverages,84.7,1,88.94,Ewallet,2026-01-21
INV-5349,A,Ahmedabad,Sports and travel,20.66,8,173.54,Ewallet,2026-01-21
INV-5213,B,Surat,Food and beverages,44.68,10,469.14,Ewallet,2026-01-21
INV-5201,C,Vadodara,Sports and travel,59.58,10,625.59,Cash,2026-01-21
INV-5281,B,Surat,Sports and travel,46.78,8,392.95,Ewallet,2026-01-21
INV-5310,B,Surat,Health and beauty,45.32,6,285.52,Cash,2026-01-21
INV-5127,C,Vadodara,Home and lifestyle,71.75,10,753.38,Cash,2026-01-22
INV-5467,B,Surat,Electronic accessories,30.58,3,96.33,Cash,2026-01-22
INV-5244,B,Surat,Food and beverages,42.16,8,354.14,Credit card,2026-01-22
INV-5217,A,Ahmedabad,Home and lifestyle,60.77,5,319.04,Cash,2026-01-23
INV-5292,C,Vadodara,Food and beverages,59.9,3,188.68,Cash,2026-01-23
INV-5202,B,Surat,Electronic accessories,84.57,8,710.39,Cash,2026-01-23
INV-5362,A,Ahmedabad,Health and beauty,65.68,1,68.96,Ewallet,2026-01-23
INV-5377,C,Vadodara,Food and beverages,88.43,6,557.11,Cash,2026-01-23
INV-5094,C,Vadodara,Electronic accessories,62.74,10,658.77,Cash,2026-01-23
INV-5069,B,Surat,Sports and travel,46.01,1,48.31,Credit card,2026-01-23
INV-5473,B,Surat,Home and lifestyle,54.79,9,517.77,Ewallet,2026-01-24
INV-5014,C,Vadodara,Fashion accessories,40.84,5,214.41,Cash,2026-01-24
INV-5065,A,Ahmedabad,Electronic accessories,97.85,6,616.45,Credit card,2026-01-24
INV-5219,C,Vadodara,Sports and travel,15.95,5,83.74,Ewallet,2026-01-24
INV-5253,A,Ahmedabad,Fashion accessories,65.76,4,276.19,Credit card,2026-01-25
INV-5295,B,Surat,Electronic accessories,44.07,8,370.19,Cash,2026-01-25
INV-5215,A,Ahmedabad,Food and beverages,56.97,3,179.46,Cash,2026-01-26
INV-5493,B,Surat,Home and lifestyle,80.36,8,675.02,Cash,2026-01-26
INV-5098,B,Surat,Sports and travel,87.45,2,183.64,Ewallet,2026-01-26
INV-5095,A,Ahmedabad,Food and beverages,46.9,8,393.96,Cash,2026-01-27
INV-5091,C,Vadodara,Fashion accessories,68.03,4,285.73,Credit card,2026-01-27
INV-5024,C,Vadodara,Electronic accessories,69.4,4,291.48,Cash,2026-01-27
INV-5198,B,Surat,Health and beauty,36.02,10,378.21,Credit card,2026-01-27
INV-5343,B,Surat,Health and beauty,60.8,7,446.88,Credit card,2026-01-28
INV-5083,C,Vadodara,Health and beauty,85.9,3,270.59,Credit card,2026-01-28
INV-5196,B,Surat,Food and beverages,29.87,3,94.09,Ewallet,2026-01-28
INV-5048,C,Vadodara,Sports and travel,87.46,2,183.67,Ewallet,2026-01-28
INV-5241,B,Surat,Food and beverages,38.84,3,122.35,Cash,2026-01-28
INV-5398,A,Ahmedabad,Health and beauty,61.07,1,64.12,Cash,2026-01-28
INV-5002,B,Surat,Fashion accessories,21.61,10,226.9,Ewallet,2026-01-28
INV-5486,B,Surat,Sports and travel,98.32,4,412.94,Cash,2026-01-28
INV-5255,A,Ahmedabad,Home and lifestyle,86.71,2,182.09,Cash,2026-01-29
INV-5289,B,Surat,Health and beauty,61.11,2,128.33,Credit card,2026-01-29
INV-5441,A,Ahmedabad,Home and lifestyle,14.42,1,15.14,Ewallet,2026-01-29
INV-5021,B,Surat,Health and beauty,77.47,2,162.69,Credit card,2026-01-30
INV-5073,A,Ahmedabad,Health and beauty,94.23,8,791.53,Ewallet,2026-01-30
INV-5271,A,Ahmedabad,Fashion accessories,44.27,5,232.42,Credit card,2026-01-30
INV-5234,B,Surat,Electronic accessories,29.27,6,184.4,Cash,2026-01-30
INV-5106,C,Vadodara,Electronic accessories,20.41,9,192.87,Ewallet,2026-01-30
INV-5193,B,Surat,Fashion accessories,97.8,2,205.38,Cash,2026-01-30
INV-5122,B,Surat,Health and beauty,84.93,5,445.88,Ewallet,2026-01-30
INV-5358,A,Ahmedabad,Food and beverages,72.11,2,151.43,Credit card,2026-01-30
INV-5485,A,Ahmedabad,Sports and travel,14.58,1,15.31,Ewallet,2026-01-31
INV-5495,B,Surat,Sports and travel,67.41,6,424.68,Credit card,2026-01-31
INV-5158,B,Surat,Health and beauty,49.27,7,362.13,Credit card,2026-01-31
INV-5096,A,Ahmedabad,Sports and travel,29.7,2,62.37,Ewallet,2026-01-31
INV-5269,B,Surat,Home and lifestyle,54.43,10,571.52,Credit card,2026-01-31
INV-5228,B,Surat,Home and lifestyle,94.2,8,791.28,Credit card,2026-01-31
INV-5326,A,Ahmedabad,Food and beverages,43.58,2,91.52,Credit card,2026-01-31
INV-5009,A,Ahmedabad,Electronic accessories,51.5,9,486.68,Cash,2026-02-01
INV-5353,B,Surat,Electronic accessories,37.34,8,313.66,Ewallet,2026-02-01
INV-5057,A,Ahmedabad,Fashion accessories,28.23,2,59.28,Credit card,2026-02-01
INV-5216,A,Ahmedabad,Sports and travel,38.33,1,40.25,Credit card,2026-02-01
INV-5356,A,Ahmedabad,Electronic accessories,56.84,1,59.68,Ewallet,2026-02-02
INV-5347,C,Vadodara,Health and beauty,43.3,2,90.93,Credit card,2026-02-02
INV-5210,A,Ahmedabad,Food and beverages,78.21,10,821.2,Ewallet,2026-02-02
INV-5176,C,Vadodara,Sports and travel,51.82,7,380.88,Ewallet,2026-02-02
INV-5447,C,Vadodara,Health and beauty,58.35,6,367.6,Ewallet,2026-02-03
INV-5450,C,Vadodara,Health and beauty,82.05,5,430.76,Credit card,2026-02-03
INV-5236,B,Surat,Food and beverages,28.63,4,120.25,Cash,2026-02-04
INV-5314,A,Ahmedabad,Food and beverages,13.47,5,70.72,Cash,2026-02-04
INV-5463,B,Surat,Electronic accessories,38.87,1,40.81,Cash,2026-02-04
INV-5030,B,Surat,Sports and travel,60.56,8,508.7,Credit card,2026-02-04
INV-5194,C,Vadodara,Health and beauty,88.56,8,743.9,Ewallet,2026-02-05
INV-5152,C,Vadodara,Electronic accessories,18.65,2,39.16,Credit card,2026-02-06
INV-5117,A,Ahmedabad,Electronic accessories,81.17,7,596.6,Cash,2026-02-06
INV-5265,B,Surat,Food and beverages,82.56,7,606.82,Cash,2026-02-06
INV-5046,B,Surat,Home and lifestyle,27.8,8,233.52,Credit card,2026-02-06
INV-5232,A,Ahmedabad,Fashion accessories,27.59,7,202.79,Cash,2026-02-06
INV-5190,C,Vadodara,Fashion accessories,50.39,1,52.91,Cash,2026-02-06
INV-5385,A,Ahmedabad,Food and beverages,13.64,3,42.97,Credit card,2026-02-07
INV-5066,C,Vadodara,Electronic accessories,45.97,9,434.42,Ewallet,2026-02-07
INV-5062,B,Surat,Home and lifestyle,32.96,4,138.43,Ewallet,2026-02-07
INV-5054,B,Surat,Fashion accessories,35.52,8,298.37,Cash,2026-02-07
INV-5488,C,Vadodara,Electronic accessories,90.71,5,476.23,Cash,2026-02-07
INV-5423,B,Surat,Health and beauty,44.77,4,188.03,Credit card,2026-02-07
INV-5264,C,Vadodara,Home and lifestyle,61.92,6,390.1,Ewallet,2026-02-07
INV-5197,A,Ahmedabad,Sports and travel,69.05,9,652.52,Credit card,2026-02-07
INV-5168,B,Surat,Fashion accessories,83.73,9,791.25,Cash,2026-02-08
INV-5274,B,Surat,Fashion accessories,21.52,3,67.79,Cash,2026-02-08
INV-5270,A,Ahmedabad,Sports and travel,97.38,2,204.5,Cash,2026-02-08
INV-5175,B,Surat,Food and beverages,77.52,6,488.38,Credit card,2026-02-08
INV-5243,B,Surat,Electronic accessories,14.97,6,94.31,Cash,2026-02-09
INV-5050,C,Vadodara,Food and beverages,70.11,9,662.54,Credit card,2026-02-09
INV-5359,C,Vadodara,Food and beverages,24.71,6,155.67,Credit card,2026-02-09
INV-5123,B,Surat,Home and lifestyle,25.87,7,190.14,Credit card,2026-02-09
INV-5392,B,Surat,Sports and travel,20.58,8,172.87,Cash,2026-02-09
INV-5118,A,Ahmedabad,Health and beauty,34.36,1,36.08,Cash,2026-02-09
INV-5313,A,Ahmedabad,Electronic accessories,10.42,3,32.82,Credit card,2026-02-09
INV-5165,C,Vadodara,Food and beverages,87.47,5,459.22,Ewallet,2026-02-10
INV-5246,C,Vadodara,Sports and travel,64.94,8,545.5,Cash,2026-02-10
INV-5100,C,Vadodara,Sports and travel,10.68,4,44.86,Credit card,2026-02-10
INV-5115,B,Surat,Sports and travel,16.27,5,85.42,Ewallet,2026-02-10
INV-5383,A,Ahmedabad,Health and beauty,99.42,10,1043.91,Credit card,2026-02-10
INV-5316,C,Vadodara,Health and beauty,60.64,7,445.7,Ewallet,2026-02-10
INV-5480,A,Ahmedabad,Sports and travel,47.96,8,402.86,Ewallet,2026-02-10
INV-5311,C,Vadodara,Fashion accessories,93.15,5,489.04,Cash,2026-02-10
INV-5279,A,Ahmedabad,Fashion accessories,63.04,8,529.54,Ewallet,2026-02-10
INV-5086,A,Ahmedabad,Food and beverages,78.82,2,165.52,Cash,2026-02-10
INV-5055,A,Ahmedabad,Sports and travel,70.73,5,371.33,Cash,2026-02-10
INV-5453,A,Ahmedabad,Home and lifestyle,95.4,4,400.68,Cash,2026-02-11
INV-5130,B,Surat,Food and beverages,99.95,4,419.79,Ewallet,2026-02-11
INV-5345,A,Ahmedabad,Health and beauty,64.65,8,543.06,Ewallet,2026-02-12
INV-5135,A,Ahmedabad,Food and beverages,38.65,1,40.58,Cash,2026-02-12
INV-5437,C,Vadodara,Health and beauty,56.42,7,414.69,Cash,2026-02-12
INV-5489,B,Surat,Food and beverages,52.8,8,443.52,Ewallet,2026-02-12
INV-5470,C,Vadodara,Electronic accessories,94.3,3,297.04,Cash,2026-02-12
INV-5161,B,Surat,Food and beverages,68.7,9,649.22,Ewallet,2026-02-12
INV-5373,B,Surat,Health and beauty,82.81,6,521.7,Credit card,2026-02-12
INV-5059,C,Vadodara,Fashion accessories,73.13,3,230.36,Credit card,2026-02-12
INV-5422,C,Vadodara,Home and lifestyle,51.08,7,375.44,Credit card,2026-02-13
INV-5354,C,Vadodara,Electronic accessories,88.69,10,931.24,Cash,2026-02-13
INV-5155,B,Surat,Sports and travel,16.08,9,151.96,Cash,2026-02-13
INV-5137,A,Ahmedabad,Electronic accessories,48.23,5,253.21,Ewallet,2026-02-14
INV-5208,A,Ahmedabad,Home and lifestyle,33.42,5,175.46,Credit card,2026-02-14
INV-5341,A,Ahmedabad,Sports and travel,82.99,4,348.56,Ewallet,2026-02-14
INV-5159,C,Vadodara,Electronic accessories,79.72,9,753.35,Credit card,2026-02-14
INV-5143,B,Surat,Home and lifestyle,83.91,6,528.63,Cash,2026-02-14
INV-5439,B,Surat,Sports and travel,97.95,9,925.63,Cash,2026-02-15
INV-5205,A,Ahmedabad,Sports and travel,14.45,7,106.21,Credit card,2026-02-15
INV-5426,C,Vadodara,Sports and travel,18.08,5,94.92,Cash,2026-02-15
INV-5402,A,Ahmedabad,Electronic accessories,97.19,2,204.1,Cash,2026-02-15
INV-5261,A,Ahmedabad,Sports and travel,46.11,5,242.08,Cash,2026-02-15
INV-5494,A,Ahmedabad,Sports and travel,48.54,10,509.67,Ewallet,2026-02-16
INV-5456,A,Ahmedabad,Home and lifestyle,30.33,8,254.77,Ewallet,2026-02-16
INV-5400,C,Vadodara,Health and beauty,50.05,9,472.97,Credit card,2026-02-16
INV-5308,A,Ahmedabad,Home and lifestyle,14.73,1,15.47,Credit card,2026-02-16
INV-5366,B,Surat,Food and beverages,29.29,7,215.28,Ewallet,2026-02-16
INV-5499,B,Surat,Sports and travel,69.63,5,365.56,Cash,2026-02-16
INV-5164,B,Surat,Sports and travel,23.22,2,48.76,Cash,2026-02-16
INV-5153,A,Ahmedabad,Food and beverages,23.82,8,200.09,Cash,2026-02-16
INV-5051,A,Ahmedabad,Home and lifestyle,21.64,2,45.44,Cash,2026-02-16
INV-5156,A,Ahmedabad,Food and beverages,14.75,8,123.9,Ewallet,2026-02-16
INV-5145,C,Vadodara,Electronic accessories,38.94,6,245.32,Ewallet,2026-02-17
INV-5436,B,Surat,Health and beauty,29.68,3,93.49,Ewallet,2026-02-17
INV-5227,B,Surat,Health and beauty,52.85,4,221.97,Cash,2026-02-17
INV-5272,A,Ahmedabad,Health and beauty,45.78,7,336.48,Credit card,2026-02-17
INV-5276,B,Surat,Home and lifestyle,27.39,1,28.76,Credit card,2026-02-17
INV-5396,A,Ahmedabad,Sports and travel,58.14,5,305.24,Cash,2026-02-17
INV-5038,A,Ahmedabad,Sports and travel,49.6,3,156.24,Cash,2026-02-17
INV-5237,B,Surat,Home and lifestyle,48.05,10,504.52,Cash,2026-02-17
INV-5178,C,Vadodara,Sports and travel,29.73,3,93.65,Cash,2026-02-18
INV-5136,B,Surat,Electronic accessories,51.51,6,324.51,Credit card,2026-02-18
INV-5360,C,Vadodara,Fashion accessories,70.15,10,736.58,Ewallet,2026-02-18
INV-5478,B,Surat,Home and lifestyle,53.77,5,282.29,Credit card,2026-02-18
INV-5285,C,Vadodara,Sports and travel,93.95,5,493.24,Credit card,2026-02-19
INV-5327,A,Ahmedabad,Fashion accessories,60.86,3,191.71,Cash,2026-02-19
INV-5322,B,Surat,Health and beauty,10.49,8,88.12,Cash,2026-02-19
INV-5413,A,Ahmedabad,Fashion accessories,94.9,1,99.65,Ewallet,2026-02-19
INV-5131,B,Surat,Electronic accessories,56.48,5,296.52,Ewallet,2026-02-19
INV-5440,C,Vadodara,Food and beverages,31.27,10,328.34,Cash,2026-02-19
INV-5097,C,Vadodara,Food and beverages,83.45,4,350.49,Credit card,2026-02-19
INV-5257,A,Ahmedabad,Home and lifestyle,83.78,2,175.94,Ewallet,2026-02-19
INV-5342,B,Surat,Fashion accessories,53.36,1,56.03,Credit card,2026-02-20
INV-5160,C,Vadodara,Electronic accessories,13.14,2,27.59,Cash,2026-02-20
INV-5110,A,Ahmedabad,Fashion accessories,23.86,6,150.32,Credit card,2026-02-20
INV-5259,B,Surat,Food and beverages,99.7,5,523.43,Credit card,2026-02-20
INV-5183,C,Vadodara,Fashion accessories,25.87,1,27.16,Credit card,2026-02-21
INV-5382,C,Vadodara,Home and lifestyle,58.11,10,610.16,Ewallet,2026-02-21
INV-5093,B,Surat,Fashion accessories,33.2,3,104.58,Credit card,2026-02-21
INV-5390,C,Vadodara,Health and beauty,94.23,3,296.82,Cash,2026-02-21
INV-5425,A,Ahmedabad,Fashion accessories,45.24,10,475.02,Cash,2026-02-21
INV-5262,A,Ahmedabad,Fashion accessories,39.15,8,328.86,Cash,2026-02-21
INV-5011,C,Vadodara,Food and beverages,63.97,6,403.01,Ewallet,2026-02-22
INV-5250,A,Ahmedabad,Fashion accessories,18.98,4,79.72,Cash,2026-02-22
INV-5041,C,Vadodara,Health and beauty,70.07,3,220.72,Credit card,2026-02-22
INV-5221,B,Surat,Fashion accessories,29.1,3,91.67,Credit card,2026-02-22
INV-5172,C,Vadodara,Sports and travel,33.17,5,174.14,Ewallet,2026-02-22
INV-5301,C,Vadodara,Electronic accessories,60.64,3,191.02,Cash,2026-02-22
INV-5337,A,Ahmedabad,Electronic accessories,63.48,1,66.65,Ewallet,2026-02-23
INV-5468,A,Ahmedabad,Fashion accessories,74.97,6,472.31,Credit card,2026-02-23
INV-5324,C,Vadodara,Sports and travel,39.76,5,208.74,Ewallet,2026-02-23
INV-5166,A,Ahmedabad,Sports and travel,84.08,8,706.27,Ewallet,2026-02-23
INV-5454,B,Surat,Food and beverages,41.31,9,390.38,Ewallet,2026-02-23
INV-5394,C,Vadodara,Food and beverages,85.12,4,357.5,Ewallet,2026-02-24
INV-5112,B,Surat,Food and beverages,65.77,1,69.06,Ewallet,2026-02-24
INV-5147,A,Ahmedabad,Sports and travel,82.13,9,776.13,Credit card,2026-02-24
INV-5375,A,Ahmedabad,Sports and travel,17.27,6,108.8,Ewallet,2026-02-24
INV-5101,A,Ahmedabad,Food and beverages,40.25,2,84.52,Ewallet,2026-02-24
INV-5363,C,Vadodara,Food and beverages,13.61,9,128.61,Credit card,2026-02-24
INV-5309,A,Ahmedabad,Fashion accessories,95.1,10,998.55,Ewallet,2026-02-24
INV-5374,C,Vadodara,Food and beverages,97.7,7,718.1,Ewallet,2026-02-25
INV-5099,A,Ahmedabad,Sports and travel,25.09,3,79.03,Credit card,2026-02-25
INV-5421,C,Vadodara,Sports and travel,53.46,8,449.06,Ewallet,2026-02-25
INV-5108,B,Surat,Fashion accessories,99.87,10,1048.64,Ewallet,2026-02-25
INV-5139,B,Surat,Fashion accessories,70.5,5,370.12,Ewallet,2026-02-25
INV-5469,C,Vadodara,Health and beauty,25.2,9,238.14,Cash,2026-02-25
INV-5419,B,Surat,Sports and travel,97.46,3,307.0,Credit card,2026-02-25
INV-5045,C,Vadodara,Health and beauty,39.39,9,372.24,Credit card,2026-02-26
INV-5364,A,Ahmedabad,Fashion accessories,51.56,2,108.28,Cash,2026-02-26
INV-5191,B,Surat,Food and beverages,45.36,7,333.4,Ewallet,2026-02-26
INV-5318,C,Vadodara,Sports and travel,76.91,3,242.27,Credit card,2026-02-26
INV-5103,A,Ahmedabad,Health and beauty,85.53,5,449.03,Ewallet,2026-02-26
