student_id,gender,study_hours_per_day,attendance_percent,previous_score,result
S1054,Female,5.4,76.1,60.2,Pass
S1055,Female,5.7,80.4,76.9,Fail
S1056,Male,4.2,65.9,77.9,Fail
S1057,Female,1.1,86.5,77.4,Fail
S1058,Male,5.7,86.0,62.6,Fail
S1059,Male,8.8,82.6,49.3,Pass
S1060,Female,1.6,84.7,45.7,Fail
S1061,Male,6.9,81.6,67.2,Pass
S1062,Female,4.3,100.0,67.7,Pass
S1063,Female,4.9,77.0,81.3,Pass
S1064,Female,2.7,74.3,78.5,Pass
S1065,Female,4.3,69.0,60.0,Fail
S1066,Female,7.9,65.6,43.3,Pass
S1067,Male,6.3,63.1,57.2,Pass
S1068,Male,8.8,67.3,65.3,Pass
S1069,Male,7.6,77.2,59.0,Pass
S1070,Male,6.0,82.0,53.3,Pass
S1071,Male,8.8,78.6,65.8,Pass
S1072,Female,6.0,68.8,54.4,Fail
S1073,Male,6.8,88.8,52.6,Pass
S1074,Male,4.3,86.9,66.7,Pass
S1075,Male,5.1,76.1,56.0,Pass
S1076,Male,3.5,70.2,65.7,Fail
S1077,Female,7.2,84.6,66.1,Pass
S1078,Female,2.4,80.3,44.9,Pass
S1079,Female,6.7,60.6,54.8,Fail
S1080,Female,4.6,77.2,83.6,Pass
S1081,Male,7.6,81.1,44.6,Pass
S1082,Female,6.7,67.2,30.3,Fail
S1083,Male,9.0,80.3,34.1,Pass
S1084,Male,6.6,60.5,62.4,Pass
S1085,Male,1.5,94.0,62.5,Pass
S1086,Female,4.9,93.0,60.2,Pass
S1087,Male,2.4,75.0,80.2,Fail
S1088,Male,3.9,82.4,21.9,Fail
S1089,Male,8.3,49.1,67.9,Pass
S1090,Male,6.4,64.1,85.4,Pass
S1091,Female,3.5,74.5,45.1,Fail
S1092,Male,2.8,65.1,56.3,Fail
S1093,Male,5.1,86.6,50.7,Fail
S1094,Male,2.3,100.0,48.6,Fail
S1095,Female,3.5,63.9,57.1,Pass
S1096,Male,5.7,68.0,83.4,Fail
S1097,Male,7.5,80.8,89.6,Pass
S1098,Male,6.3,97.3,57.0,Pass
S1099,Female,0.0,63.3,90.6,Fail
S1100,Female,5.7,81.0,62.5,Pass
S1101,Female,5.2,99.9,88.3,Pass
S1102,Male,5.9,58.2,60.6,Fail
S1103,Female,8.6,62.6,64.0,Fail
S1104,Female,0.5,72.9,67.5,Fail
S1105,Female,3.7,71.8,100.0,Pass
S1106,Male,6.3,87.8,74.8,Pass
S1107,Male,1.5,80.9,51.4,Fail
S1108,Male,8.2,56.7,76.5,Fail
S1109,Female,5.8,84.2,56.6,Pass
S1110,Male,6.9,71.1,54.7,Pass
S1111,Male,3.7,93.3,75.6,Pass
S1112,Male,6.8,70.5,62.5,Pass
S1113,Female,7.4,70.4,66.2,Pass
S1114,Male,5.5,84.5,62.2,Pass
S1115,Female,5.5,87.2,67.0,Pass
S1116,Female,5.6,83.4,68.4,Fail
S1117,Female,3.1,57.8,32.9,Fail
S1118,Male,4.7,84.5,72.0,Pass
S1119,Female,4.7,65.6,47.3,Fail
S1120,Female,5.8,80.8,40.4,Fail
S1121,Female,7.2,60.9,61.1,Fail
S1122,Male,2.7,83.4,63.3,Fail
S1123,Male,4.7,68.3,51.6,Fail
S1124,Male,8.3,62.6,74.5,Pass
S1125,Male,3.4,86.6,41.9,Fail
S1126,Male,3.2,80.9,55.9,Pass
S1127,Male,5.4,70.6,53.2,Pass
S1128,Male,6.9,95.4,61.3,Pass
S1129,Female,5.0,72.7,66.2,Pass
S1130,Male,7.9,78.4,46.9,Pass
S1131,Female,6.9,81.2,72.9,Pass
S1132,Female,6.9,70.6,62.9,Pass
S1133,Male,6.2,83.7,33.6,Fail
S1134,Female,10.1,71.6,32.6,Pass
S1135,Male,4.5,73.1,61.8,Fail
S1136,Female,0.6,94.4,58.7,Fail
S1137,Male,8.5,65.5,60.4,Pass
S1138,Female,4.0,49.0,61.6,Fail
S1139,Male,5.2,97.3,65.4,Pass
S1140,Male,7.9,100.0,76.2,Pass
S1141,Male,1.5,73.1,45.3,Fail
S1142,Female,2.2,54.8,44.4,Fail
S1143,Female,1.5,74.3,45.6,Fail
S1144,Male,3.3,74.6,66.3,Fail
S1145,Male,6.0,75.7,80.7,Pass
S1146,Male,6.2,64.6,55.5,Pass
S1147,Female,5.6,85.0,24.5,Fail
S1148,Male,1.9,84.3,36.4,Fail
S1149,Male,0.0,60.1,49.5,Fail
S1150,Female,5.1,86.4,53.6,Pass
S1151,Female,4.0,100.0,55.9,Pass
S1152,Male,6.0,80.1,62.6,Pass
S1153,Female,6.5,74.0,57.3,Pass
S1154,Male,5.3,76.3,77.7,Pass
S1155,Female,6.7,85.4,51.9,Pass
S1156,Male,5.5,57.2,49.1,Pass
S1157,Female,6.2,80.0,69.2,Pass
S1158,Female,3.4,73.3,39.0,Fail
S1159,Female,4.6,100.0,67.8,Pass
S1160,Male,5.4,75.9,63.5,Pass
S1161,Female,6.8,98.0,59.8,Fail
S1162,Male,4.1,64.8,85.8,Pass
S1163,Male,6.1,85.0,52.7,Pass
S1164,Female,4.4,81.8,92.9,Pass
S1165,Male,4.7,67.6,58.6,Fail
S1166,Female,6.8,80.1,42.8,Fail
S1167,Female,0.6,92.6,63.0,Fail
S1168,Male,2.1,74.1,45.9,Fail
S1169,Female,1.7,57.7,50.7,Fail
S1170,Male,0.0,77.8,68.0,Fail
S1171,Male,3.5,67.2,70.3,Fail
S1172,Male,6.6,73.9,52.7,Pass
S1173,Female,4.4,77.0,76.8,Fail
S1174,Male,5.4,57.5,79.4,Fail
S1175,Male,7.4,58.6,83.5,Pass
S1176,Male,7.9,83.8,69.9,Pass
S1177,Female,4.8,71.7,82.5,Fail
S1178,Female,8.0,47.2,33.8,Pass
S1179,Female,5.2,87.4,57.2,Pass
S1180,Female,3.2,81.3,49.0,Fail
S1181,Female,3.7,69.4,63.8,Fail
S1182,Male,1.7,62.2,53.4,Fail
S1183,Male,3.0,88.0,59.5,Pass
S1184,Female,4.2,82.2,90.2,Pass
S1185,Female,6.8,100.0,59.5,Pass
S1186,Male,8.8,83.0,68.2,Pass
S1187,Male,2.0,82.7,58.5,Fail
S1188,Female,5.9,76.0,63.1,Pass
S1189,Male,2.7,87.8,62.1,Fail
S1190,Female,6.0,85.5,68.7,Pass
S1191,Male,4.7,93.0,79.5,Pass
S1192,Male,1.0,71.7,86.7,Fail
S1193,Female,7.0,72.8,66.6,Pass
S1194,Male,3.7,72.3,70.8,Pass
S1195,Male,3.8,87.5,44.7,Pass
S1196,Female,2.6,96.0,60.7,Fail
S1197,Female,3.6,72.5,76.1,Fail
S1198,Male,5.9,72.9,75.0,Pass
S1199,Male,4.6,81.8,65.2,Fail
S1200,Female,5.7,75.1,75.3,Pass
S1201,Female,5.8,89.4,69.4,Pass
S1202,Male,7.9,51.0,80.0,Fail
S1203,Male,4.2,68.1,66.3,Pass
S1204,Male,1.8,68.6,56.7,Fail
S1205,Male,7.3,50.2,67.0,Fail
S1206,Male,4.3,66.4,20.0,Fail
S1207,Female,7.5,67.0,67.7,Pass
S1208,Male,5.8,75.6,20.0,Fail
S1209,Male,4.7,91.4,36.1,Pass
S1210,Female,5.8,75.1,68.8,Pass
S1211,Female,9.3,65.6,69.2,Pass
S1212,Male,9.6,77.3,44.6,Pass
S1213,Female,5.2,90.6,51.3,Pass
S1214,Female,5.4,66.3,82.6,Fail
S1215,Female,7.4,67.1,54.7,Pass
S1216,Male,3.1,84.7,95.6,Pass
S1217,Male,5.7,75.3,62.0,Pass
S1218,Female,4.9,85.8,68.1,Pass
S1219,Male,5.7,77.8,86.3,Pass
S1220,Male,3.2,86.4,64.0,Fail
S1221,Male,1.5,65.6,47.0,Fail
S1222,Female,0.4,77.9,60.4,Fail
S1223,Female,2.5,75.5,61.5,Fail
S1224,Male,4.0,63.4,41.5,Pass
S1225,Female,4.4,59.2,58.2,Pass
S1226,Male,9.3,86.2,50.9,Pass
S1227,Female,7.4,73.8,75.9,Pass
S1228,Female,2.9,65.7,62.5,Pass
S1229,Male,5.8,76.8,57.8,Fail
S1230,Male,4.1,91.5,60.4,Fail
S1231,Male,4.4,50.6,65.3,Fail
S1232,Female,5.4,60.0,71.3,Fail
S1233,Female,6.4,66.9,47.0,Fail
S1234,Female,4.3,95.5,46.4,Pass
S1235,Female,7.3,81.4,78.6,Pass
S1236,Male,2.5,87.2,55.8,Pass
S1237,Female,5.0,64.3,40.7,Fail
S1238,Male,10.7,64.6,68.7,Pass
S1239,Male,5.5,83.4,69.0,Fail
S1240,Female,8.2,78.7,39.0,Pass
S1241,Female,5.2,84.6,65.4,Fail
S1242,Male,6.3,75.7,73.0,Pass
S1243,Female,4.9,81.3,67.6,Pass
S1244,Female,4.6,79.9,71.5,Fail
S1245,Female,3.3,87.3,40.9,Fail
S1246,Female,5.9,87.7,67.0,Pass
S1247,Male,3.1,58.6,57.5,Fail
S1248,Male,6.5,51.0,54.8,Pass
S1249,Male,7.4,90.0,75.1,Pass
