name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Maruti Swift,2009,324000.0,144793.0,CNG,Dealer,Manual,Third Owner
Volkswagen Polo,2013,326000.0,75336.0,Petrol,Individual,Manual,First Owner
Toyota Innova,2018,632000.0,43783.0,Petrol,Individual,Manual,Fourth & Above
Honda Amaze,2015,620000.0,117764.0,Diesel,Individual,Manual,First Owner
Volkswagen Polo,2020,888000.0,65296.0,Diesel,Individual,Manual,Second Owner
Maruti Swift,2008,228000.0,127089.0,Diesel,Individual,Manual,Second Owner
Toyota Fortuner,2024,960000.0,26916.0,Petrol,Trustmark Dealer,Manual,First Owner
Ford EcoSport,2016,613000.0,176319.0,Petrol,Individual,Manual,Second Owner
Hyundai i20,2011,45000.0,181485.0,Diesel,Individual,Manual,Second Owner
Tata Tiago,2024,1053000.0,25651.0,CNG,Individual,Manual,Third Owner
Tata Nexon,2015,575000.0,132056.0,Petrol,Dealer,Manual,Second Owner
Tata Tiago,2018,706000.0,91492.0,CNG,Dealer,Manual,Second Owner
Maruti Swift,2018,748000.0,93626.0,Diesel,Dealer,Automatic,First Owner
Skoda Rapid,2016,,144014.0,Petrol,Individual,Manual,Second Owner
Hyundai i20,2010,67000.0,152325.0,Petrol,Dealer,Automatic,First Owner
Skoda Rapid,2018,770000.0,48460.0,Petrol,Dealer,Automatic,Second Owner
Volkswagen Polo,2022,1095000.0,49953.0,Diesel,Individual,Manual,First Owner
Honda Amaze,2020,656000.0,86525.0,Petrol,Dealer,Manual,First Owner
Mahindra XUV500,2020,905000.0,71061.0,Diesel,Dealer,Manual,Second Owner
Volkswagen Polo,2017,624000.0,92449.0,Petrol,Individual,Manual,Fourth & Above
Toyota Fortuner,2008,148000.0,128983.0,Diesel,Dealer,Manual,Third Owner
Maruti Swift,2015,493000.0,127519.0,Diesel,Dealer,Manual,First Owner
Renault Kwid,2016,567000.0,89029.0,Petrol,Dealer,Automatic,Second Owner
Volkswagen Polo,2023,1002000.0,39156.0,Diesel,Individual,Manual,First Owner
Maruti Swift,2009,130000.0,200332.0,Petrol,Individual,Manual,First Owner
Ford EcoSport,2017,657000.0,116873.0,Petrol,Dealer,Manual,First Owner
Mahindra XUV500,2014,396000.0,133325.0,Petrol,Individual,Manual,First Owner
Ford EcoSport,2022,816000.0,74870.0,Petrol,Dealer,Manual,First Owner
Hyundai Creta,2011,193000.0,174785.0,Diesel,Individual,Manual,First Owner
Hyundai Creta,2015,525000.0,177323.0,Petrol,Dealer,Manual,First Owner
Skoda Rapid,2008,45000.0,79932.0,Petrol,Trustmark Dealer,Automatic,Second Owner
Volkswagen Polo,2021,912000.0,45789.0,Diesel,Individual,Manual,Second Owner
Volkswagen Polo,2014,473000.0,132406.0,Petrol,Dealer,Manual,Fourth & Above
Toyota Innova,2014,390000.0,65532.0,Petrol,Dealer,Automatic,Third Owner
Renault Kwid,2013,454000.0,147826.0,Diesel,Trustmark Dealer,Manual,First Owner
Renault Kwid,2016,481000.0,117823.0,Petrol,Individual,Manual,First Owner
Volkswagen Polo,2024,1045000.0,25801.0,Diesel,Individual,Manual,Second Owner
Volkswagen Polo,2018,688000.0,106455.0,Petrol,Dealer,Manual,Second Owner
Toyota Innova,2014,539000.0,97512.0,Diesel,Individual,Manual,First Owner
Honda Amaze,2010,232000.0,176642.0,Diesel,Individual,Manual,Second Owner
Volkswagen Polo,2024,1137000.0,11745.0,Petrol,Dealer,Manual,Second Owner
Renault Kwid,2013,375000.0,167242.0,Petrol,Individual,Automatic,Third Owner
Maruti Baleno,2012,342000.0,54154.0,CNG,Individual,Manual,First Owner
Honda Amaze,2020,928000.0,49755.0,Petrol,Individual,Manual,First Owner
Toyota Fortuner,2019,784000.0,108082.0,Petrol,Dealer,Manual,Third Owner
Volkswagen Polo,2012,211000.0,195813.0,Petrol,Individual,Automatic,First Owner
Tata Tiago,2022,1068000.0,24537.0,Diesel,Individual,Manual,Third Owner
Volkswagen Polo,2009,148000.0,167223.0,Diesel,Individual,Manual,Third Owner
Hyundai Creta,2024,1177000.0,25697.0,Diesel,Dealer,Manual,First Owner
Toyota Fortuner,2022,953000.0,60281.0,Petrol,Individual,Manual,Third Owner
Volkswagen Polo,2012,346000.0,53898.0,Diesel,Individual,Manual,First Owner
Renault Kwid,2011,228000.0,93802.0,Petrol,Individual,Manual,Second Owner
Hyundai Creta,2011,290000.0,194319.0,Diesel,Individual,Manual,First Owner
Maruti Swift,2021,788000.0,61292.0,Petrol,Dealer,Manual,First Owner
Toyota Fortuner,2010,210000.0,193729.0,Petrol,Individual,Automatic,First Owner
Honda City,2021,810000.0,71846.0,Petrol,Dealer,Manual,Second Owner
Volkswagen Polo,2012,343000.0,202958.0,Petrol,Dealer,Manual,Second Owner
Skoda Rapid,2024,1139000.0,22906.0,Petrol,Individual,Manual,First Owner
Renault Kwid,2018,738000.0,117646.0,Petrol,Dealer,Manual,Second Owner
Hyundai i20,2011,279000.0,57843.0,Petrol,Individual,Manual,First Owner
Mahindra XUV500,2018,696000.0,76235.0,Diesel,Trustmark Dealer,Manual,Second Owner
Skoda Rapid,2021,910000.0,44459.0,Diesel,Dealer,Manual,First Owner
Toyota Fortuner,2023,1043000.0,,Petrol,Dealer,Manual,First Owner
Tata Nexon,2013,446000.0,66527.0,Diesel,Individual,Automatic,First Owner
Maruti Baleno,2010,214000.0,187246.0,Petrol,Individual,Manual,First Owner
Honda Amaze,2021,940000.0,86817.0,CNG,Individual,Manual,Second Owner
Toyota Fortuner,2024,922000.0,23038.0,Petrol,Individual,Automatic,First Owner
Hyundai i20,2017,701000.0,74969.0,Petrol,Individual,Manual,Fourth & Above
Ford EcoSport,2021,745000.0,25238.0,Petrol,Individual,Manual,First Owner
Toyota Fortuner,2010,113000.0,251424.0,Petrol,Trustmark Dealer,Manual,Fourth & Above
Honda City,2024,1006000.0,27064.0,Petrol,Individual,Manual,First Owner
Renault Kwid,2019,675000.0,53907.0,Petrol,Trustmark Dealer,Automatic,Fourth & Above
Tata Nexon,2018,707000.0,37619.0,Petrol,Dealer,Manual,First Owner
Toyota Fortuner,2021,899000.0,53054.0,Petrol,Individual,Automatic,Second Owner
Honda City,2018,779000.0,85919.0,Diesel,Trustmark Dealer,Automatic,First Owner
Tata Tiago,2013,183000.0,172724.0,Petrol,Individual,Manual,First Owner
Maruti Swift,2013,371000.0,80257.0,Petrol,Dealer,Manual,First Owner
Ford EcoSport,2021,838000.0,71574.0,Petrol,Individual,Manual,Third Owner
Toyota Fortuner,2018,670000.0,77567.0,Petrol,Individual,Manual,First Owner
Tata Nexon,2023,1036000.0,480000.0,Petrol,Dealer,Manual,Third Owner
Ford EcoSport,2010,100000.0,221244.0,Diesel,Individual,Manual,First Owner
Hyundai Creta,2020,746000.0,26534.0,,Individual,Manual,Second Owner
Toyota Fortuner,2010,193000.0,263193.0,Petrol,Trustmark Dealer,Manual,Second Owner
Mahindra XUV500,2017,470000.0,84202.0,CNG,Individual,Automatic,First Owner
Skoda Rapid,2024,1083000.0,31420.0,Petrol,Dealer,Manual,First Owner
Ford EcoSport,2022,978000.0,16075.0,Petrol,Individual,Manual,First Owner
Tata Tiago,2010,177000.0,202652.0,Petrol,Individual,Manual,Second Owner
Hyundai Creta,2023,903000.0,46315.0,Petrol,Individual,Manual,Fourth & Above
Tata Nexon,2019,715000.0,82138.0,Petrol,Dealer,Manual,First Owner
Tata Nexon,2013,294000.0,171848.0,Petrol,Individual,Manual,Fourth & Above
Tata Tiago,2020,863000.0,59230.0,Petrol,Individual,Manual,First Owner
Mahindra XUV500,2008,183000.0,145533.0,Petrol,Individual,Manual,First Owner
Renault Kwid,2023,980000.0,39277.0,Diesel,Individual,Manual,First Owner
Hyundai i20,2023,979000.0,16293.0,Petrol,Dealer,Manual,First Owner
Skoda Rapid,2012,217000.0,122988.0,CNG,Dealer,Manual,Second Owner
Renault Kwid,2019,821000.0,93902.0,Diesel,Individual,Manual,Third Owner
Hyundai i20,2012,252000.0,,Diesel,Dealer,Automatic,First Owner
Honda Amaze,2024,1072000.0,12803.0,CNG,Individual,Manual,First Owner
Honda City,2023,10000.0,28901.0,Petrol,Individual,Automatic,Second Owner
Toyota Fortuner,2014,477000.0,231628.0,,Individual,Manual,First Owner
Mahindra XUV500,2013,347000.0,161729.0,Petrol,Dealer,Manual,First Owner
Toyota Fortuner,2020,772000.0,98797.0,Petrol,Trustmark Dealer,Manual,First Owner
Toyota Innova,2014,482000.0,149440.0,CNG,Individual,Manual,First Owner
Tata Nexon,2014,395000.0,136567.0,Diesel,Dealer,Manual,First Owner
Maruti Swift,2013,363000.0,187782.0,Petrol,Dealer,Manual,Third Owner
Volkswagen Polo,2021,955000.0,59146.0,Petrol,Individual,Manual,First Owner
Maruti Swift,2023,990000.0,30193.0,Diesel,Dealer,Manual,First Owner
Ford EcoSport,2009,195000.0,163638.0,Diesel,Individual,Manual,First Owner
Ford EcoSport,2010,218000.0,266866.0,Diesel,Individual,Manual,First Owner
Skoda Rapid,2010,302000.0,236373.0,Diesel,Dealer,Automatic,First Owner
Toyota Fortuner,2014,533000.0,152562.0,Diesel,Dealer,Automatic,Second Owner
Tata Tiago,2016,378000.0,97202.0,CNG,Individual,Automatic,First Owner
Hyundai Creta,2024,1111000.0,23675.0,Petrol,Individual,Automatic,Third Owner
Hyundai Creta,2020,883000.0,68701.0,Petrol,Dealer,Manual,First Owner
Renault Kwid,2024,1147000.0,14889.0,Diesel,Dealer,Manual,Third Owner
Maruti Swift,2017,633000.0,109504.0,Petrol,Individual,Manual,First Owner
Honda Amaze,2021,941000.0,43842.0,Diesel,Dealer,Automatic,Second Owner
Toyota Innova,2014,369000.0,96071.0,Petrol,Trustmark Dealer,Manual,First Owner
Toyota Fortuner,2022,951000.0,51575.0,Diesel,Individual,Automatic,Second Owner
Honda City,2019,812000.0,58363.0,Diesel,Dealer,Manual,First Owner
Maruti Baleno,2013,376000.0,183076.0,Diesel,Individual,Automatic,First Owner
Mahindra XUV500,2017,536000.0,71936.0,Petrol,Individual,Manual,First Owner
Maruti Baleno,2009,300000.0,283196.0,Diesel,Dealer,Manual,First Owner
Honda City,2024,1067000.0,29935.0,Petrol,Trustmark Dealer,Manual,First Owner
Hyundai i20,2018,635000.0,106968.0,Petrol,Trustmark Dealer,Manual,First Owner
Maruti Baleno,2013,435000.0,115795.0,Diesel,Individual,Manual,Third Owner
Maruti Baleno,2010,152000.0,181141.0,Petrol,Individual,Automatic,First Owner
Ford EcoSport,2015,550000.0,,Diesel,Individual,Automatic,First Owner
Honda Amaze,2022,918000.0,58613.0,Petrol,Individual,Automatic,Second Owner
Honda Amaze,2011,64000.0,185635.0,Petrol,Trustmark Dealer,Automatic,Second Owner
Honda Amaze,2012,295000.0,108742.0,Petrol,Individual,Manual,First Owner
Toyota Fortuner,2010,233000.0,174280.0,Diesel,Individual,Manual,First Owner
Maruti Baleno,2022,1089000.0,42538.0,Diesel,Dealer,Manual,First Owner
Tata Nexon,2009,48000.0,249698.0,Petrol,Individual,Manual,Second Owner
Hyundai Creta,2009,145000.0,151210.0,Petrol,Individual,Automatic,First Owner
Toyota Fortuner,2010,183000.0,198925.0,Petrol,Dealer,Manual,Second Owner
Maruti Baleno,2022,876000.0,41900.0,Petrol,Individual,Manual,Third Owner
Hyundai Creta,2009,175000.0,142868.0,Diesel,Dealer,Manual,Third Owner
Hyundai i20,2022,1022000.0,49360.0,Petrol,Dealer,Manual,Fourth & Above
Hyundai Creta,2023,1012000.0,41822.0,Diesel,Dealer,Manual,First Owner
Honda Amaze,2021,943000.0,52149.0,,Trustmark Dealer,Manual,Fourth & Above
Tata Nexon,2023,967000.0,29372.0,Diesel,Trustmark Dealer,Manual,First Owner
Hyundai Creta,2020,905000.0,62817.0,Diesel,Individual,Manual,First Owner
Hyundai Creta,2024,1140000.0,24999.0,Diesel,Individual,Automatic,Third Owner
Tata Tiago,2018,838000.0,90064.0,Diesel,Dealer,Automatic,Second Owner
Maruti Baleno,2015,555000.0,75009.0,Petrol,Individual,Manual,Third Owner
Maruti Swift,2015,662000.0,140427.0,Petrol,Individual,Manual,First Owner
Tata Nexon,2021,701000.0,52171.0,Petrol,Individual,Manual,Second Owner
Hyundai i20,2016,561000.0,101351.0,Diesel,Individual,Manual,First Owner
Honda Amaze,2013,640000.0,118969.0,Diesel,Individual,Automatic,Second Owner
Tata Tiago,2017,637000.0,72023.0,Petrol,Individual,Manual,First Owner
Skoda Rapid,2020,907000.0,66312.0,Petrol,Individual,Automatic,Third Owner
Mahindra XUV500,2024,989000.0,30820.0,Petrol,Individual,Manual,First Owner
Ford EcoSport,2009,45000.0,171388.0,CNG,Dealer,Manual,First Owner
Tata Nexon,2022,867000.0,40639.0,Petrol,Individual,Automatic,Third Owner
Maruti Baleno,2011,278000.0,119176.0,Petrol,Individual,Manual,First Owner
Ford EcoSport,2021,1001000.0,55639.0,Petrol,Individual,Manual,First Owner
Hyundai Creta,2021,911000.0,65127.0,Diesel,Individual,Automatic,First Owner
Ford EcoSport,2020,813000.0,76995.0,Petrol,Dealer,Manual,First Owner
Ford EcoSport,2024,1123000.0,20900.0,Diesel,Dealer,Manual,First Owner
Maruti Baleno,2013,268000.0,68253.0,Petrol,Individual,Automatic,First Owner
Volkswagen Polo,2015,577000.0,146987.0,Diesel,Dealer,Manual,First Owner
Maruti Swift,2022,1068000.0,45016.0,CNG,Dealer,Manual,Second Owner
Toyota Innova,2011,240000.0,155318.0,Diesel,Individual,Automatic,First Owner
Hyundai i20,2012,177000.0,135804.0,Petrol,Dealer,Automatic,Third Owner
Toyota Innova,2014,5200000.0,149292.0,Petrol,Dealer,Automatic,Fourth & Above
Hyundai Creta,2021,1017000.0,78635.0,Petrol,Dealer,Manual,First Owner
Honda Amaze,2009,166000.0,226064.0,Diesel,Dealer,Manual,First Owner
Tata Nexon,2013,293000.0,106186.0,Petrol,Trustmark Dealer,Manual,First Owner
Renault Kwid,2020,869000.0,40056.0,Diesel,Dealer,Automatic,First Owner
Renault Kwid,2015,547000.0,64521.0,Petrol,Individual,Automatic,Third Owner
Honda Amaze,2018,763000.0,93920.0,CNG,Dealer,Manual,First Owner
Toyota Fortuner,2016,530000.0,94490.0,Petrol,Dealer,Automatic,First Owner
Mahindra XUV500,2015,461000.0,132840.0,Diesel,Individual,Manual,First Owner
Honda Amaze,2009,136000.0,130866.0,Diesel,Trustmark Dealer,Automatic,Third Owner
Toyota Fortuner,2012,359000.0,161118.0,Petrol,Dealer,Manual,Third Owner
Tata Nexon,2017,560000.0,67074.0,Petrol,Individual,Manual,Second Owner
Tata Tiago,2014,330000.0,,CNG,Individual,Manual,Second Owner
Toyota Innova,2015,553000.0,117212.0,Diesel,Dealer,Manual,Second Owner
Mahindra XUV500,2016,589000.0,90522.0,Petrol,Individual,Manual,First Owner
Hyundai i20,2009,102000.0,242124.0,Petrol,Dealer,Manual,First Owner
Renault Kwid,2019,826000.0,88529.0,Petrol,Dealer,Manual,First Owner
Maruti Swift,2012,183000.0,158239.0,Petrol,Trustmark Dealer,Manual,First Owner
Honda City,2021,839000.0,59860.0,Diesel,Individual,Manual,First Owner
Toyota Fortuner,2009,104000.0,260236.0,CNG,Dealer,Manual,Fourth & Above
Hyundai Creta,2014,475000.0,69342.0,Petrol,Dealer,Manual,First Owner
Hyundai Creta,2010,139000.0,204040.0,Petrol,Individual,Manual,First Owner
Mahindra XUV500,2012,229000.0,182079.0,Petrol,Trustmark Dealer,Manual,Third Owner
Hyundai i20,2015,432000.0,100141.0,Petrol,Individual,Automatic,Second Owner
Toyota Innova,2015,405000.0,206920.0,Petrol,Dealer,Manual,Third Owner
Tata Nexon,2008,45000.0,183399.0,Petrol,Dealer,Manual,Second Owner
Ford EcoSport,2020,783000.0,73339.0,Petrol,Trustmark Dealer,Manual,Second Owner
Ford EcoSport,2022,953000.0,55133.0,Diesel,Individual,Automatic,Third Owner
Volkswagen Polo,2020,849000.0,39260.0,Diesel,Trustmark Dealer,Automatic,First Owner
Tata Nexon,2011,134000.0,219122.0,Petrol,Individual,Manual,Third Owner
Tata Tiago,2014,441000.0,145068.0,Petrol,Dealer,Manual,First Owner
Honda Amaze,2015,473000.0,162158.0,Petrol,Individual,Manual,First Owner
Maruti Swift,2016,672000.0,86949.0,Diesel,Individual,Manual,Second Owner
Toyota Fortuner,2009,45000.0,156165.0,Diesel,Individual,Manual,Second Owner
Tata Nexon,2017,621000.0,69905.0,Petrol,Individual,Manual,First Owner
Toyota Fortuner,2008,45000.0,201021.0,Petrol,Individual,Manual,First Owner
Hyundai Creta,2011,213000.0,165633.0,Petrol,Dealer,Manual,Third Owner
Toyota Fortuner,2022,974000.0,56988.0,Petrol,Individual,Manual,Second Owner
Hyundai i20,2009,177000.0,181885.0,Petrol,Individual,Manual,First Owner
Toyota Innova,2018,816000.0,126230.0,Petrol,Dealer,Manual,First Owner
Ford EcoSport,2021,898000.0,40253.0,Diesel,Individual,Manual,First Owner
Renault Kwid,2018,792000.0,124521.0,Petrol,Dealer,Automatic,First Owner
Tata Nexon,2013,432000.0,155043.0,Petrol,Dealer,Manual,First Owner
Tata Nexon,2018,681000.0,148766.0,Diesel,Individual,Manual,First Owner
Hyundai Creta,2011,289000.0,200501.0,Petrol,Trustmark Dealer,Manual,Third Owner
Honda City,2017,708000.0,113611.0,CNG,Individual,Manual,Second Owner
Skoda Rapid,2012,467000.0,151059.0,CNG,Dealer,Manual,First Owner
Renault Kwid,2008,185000.0,69901.0,Diesel,Dealer,Manual,Second Owner
Maruti Swift,2012,222000.0,135788.0,Petrol,Individual,Manual,Second Owner
Maruti Swift,2021,893000.0,49429.0,Diesel,Individual,Manual,First Owner
Mahindra XUV500,2011,109000.0,108326.0,Petrol,Dealer,Automatic,First Owner
Hyundai Creta,2022,985000.0,69283.0,Petrol,Individual,Manual,First Owner
Toyota Fortuner,2023,982000.0,43883.0,CNG,Dealer,Manual,First Owner
Renault Kwid,2020,785000.0,106219.0,CNG,Individual,Manual,First Owner
Hyundai Creta,2016,547000.0,93814.0,Petrol,Individual,Manual,First Owner
Hyundai i20,2022,833000.0,39744.0,,Individual,Automatic,First Owner
Maruti Baleno,2012,217000.0,124946.0,CNG,Trustmark Dealer,Manual,Third Owner
Hyundai i20,2013,432000.0,125820.0,Petrol,Individual,Manual,Second Owner
Ford EcoSport,2014,478000.0,105181.0,Diesel,Individual,Manual,First Owner
